OnnettomuusID;Tienpitäjä;Tieosoite;Ajorata;Tie;Osa;Etaisyys;x-koordinaatti;y-koordinaatti;ELY-keskus;Maakunta;Kunta;Katuosoite;Vuosi;Kuukausi;Onnettomyystyyppi;Onnettomuustyyppi_nro;Vakavuus;Osallisten lkm;Onnettomuusluokka;Liikennevalot;Raskaan liikenteen onnettomuus;Tietyö;Onnettomuuspaikka;Liittymäjärjestelyt;Viikonpäivä;Pinta;Valoisuus;Lämpötila?;Sää;Nopeusrajoitus;Verkollinen asema;Päällyste;Talvihoitoluokitus;Toiminnallinen luokka;Rautatie;Taajama;KVL;KVL raskas;Näkemäprosentti yli 150;Näkemäprosentti yli 300;Näkemäprosentti yli 450;Näkemän pituus
617406;Väylävirasto;25540/1/149;0;25540;1;149;512306;6838758;Pohjois-Savon ELY;Etelä-Savo;Mikkeli;JYVÄSKYLÄNTIE X OTAVANKATU;2022;9;muu risteämisonnettomuus, ei kääntymistä;49;Ei henkilövahinkoja;2;risteämisonnettomuus;;false;false;ajorata;kiertoliittymä;ma;paljas, kuiva;päivänvalo;8;pilvipouta;50;;kestopäällyste;Is;Valtatie;Ei tasoristeystä;true;;;;;;
617407;Kunta;;;;;;360197;6766213;Uudenmaan ELY;Kanta-Häme;Hämeenlinna;TIIRIÖNTIE X PAROLANTIE;2022;9;pp pyörätiellä, toinen ajoneuvo kääntyi oikealle;15;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;;false;false;suojatie;kärkikolmio;ma;paljas, kuiva;päivänvalo;10;pilvipouta;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617408;Kunta;;;;;;376587;6735517;Uudenmaan ELY;Kanta-Häme;Riihimäki;TEHTAANKATU 27;2022;9;kumoonajo ajoradalla;95;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;;false;false;pysäköintialue tai piha;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;11;pilvipouta;50;;sora;;;Ei tasoristeystä;true;;;;;;
617409;Väylävirasto;610/5/3036;0;610;5;3036;434591;6860422;Keski-Suomen ELY;Keski-Suomi;Jyväskylä;VESPUOLENTIE;2022;9;eläinonnettomuus;90;Ei henkilövahinkoja;2;muu eläinonnettomuus;;true;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;pimeä (valaisematon);8;pilvipouta;80;;kestopäällyste;Ib;Seututie;Ei tasoristeystä;false;940;69;99;37;3;
617410;Kunta;;;;;;427712;6762622;Uudenmaan ELY;Päijät-Häme;Lahti;SAIMAANKATU X LAHDENKATU;2022;9;muu törmäys käännyttäessä oikealle;11, 36;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;toiminnassa;false;false;suojatie;liikennevalot;ti;paljas, kuiva;päivänvalo;7;pilvipouta;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617411;Väylävirasto;8/302/963;1;8;302;963;230514;7008871;Etelä-Pohjanmaan ELY;Pohjanmaa;Vaasa;KARLEBYVÄGEN;2022;9;peräänajo jarruttavaan ajoneuvoon;6;Ei henkilövahinkoja;2;peräänajo-onnettomuus;;false;false;ajorata;linjaonnettomuus;ti;paljas, kuiva;päivänvalo;12;pilvipouta;50;Tieto puuttuu;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;true;;;;;;
617412;Väylävirasto;;;;;;522188;7019519;Pohjois-Savon ELY;Pohjois-Savo;Lapinlahti;MÄNTYLAHDENTIE 44;2022;9;törmäys oik. reunassa olevaan pysäköityyn ajon.;91;Ei henkilövahinkoja;2;muu onnettomuus;;false;false;pysäköintialue tai piha;linjaonnettomuus;ti;paljas, kuiva;päivänvalo;6;pilvipouta;50;;sora;;;Ei tasoristeystä;false;;;;;;
617413;Kunta;;;;;;433794;6901294;Keski-Suomen ELY;Keski-Suomi;Jyväskylä;AHDINKATU 10;2022;9;törmäys oik. reunassa olevaan pysäköityyn ajon.;91;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;;false;false;ajorata;linjaonnettomuus;ti;paljas, märkä;tie valaistu;7;pilvipouta;30;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617414;Kunta;;;;;;349828;6663759;Uudenmaan ELY;Uusimaa;Siuntio;STÖRSVIKINTIE;2022;9;suistuminen oik. vasemmalle kääntyvässä kaarteessa;84;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;;true;false;ajorata;linjaonnettomuus;ti;paljas, kuiva;päivänvalo;10;pilvipouta;50;;kestopäällyste;;;Ei tasoristeystä;false;;;;;;
617415;Kunta;;;;;;546370;6910755;Pohjois-Savon ELY;Pohjois-Savo;Varkaus;SAVONTIE X HEVOSHARJUNKATU;2022;9;muu onnettomuus;99;Ei henkilövahinkoja;0;muu onnettomuus;;false;false;ajorata;kärkikolmio;ti;paljas, märkä;päivänvalo;;pilvipouta;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617416;Väylävirasto;5762/4/1482;0;5762;4;1482;550729;7010586;Pohjois-Savon ELY;Pohjois-Savo;Kuopio;Pajujärventie 180;2022;9;suistuminen oik. oikealle kääntyvässä kaarteessa;82;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;ti;paljas, märkä;päivänvalo;11;vesisade;80;;kestopäällyste;II;Yhdystie;Ei tasoristeystä;false;869;40;;;;
617417;Kunta;;;;;;239874;6711023;Varsinais-Suomen ELY;Varsinais-Suomi;Turku;KAUPPIASKATU 6;2022;9;matkustaja nousemassa ajon. tai poistumassa siitä;97;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;;false;false;ajorata;linjaonnettomuus;su;paljas, kuiva;tie valaistu;4;kirkas;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617418;Väylävirasto;3007/1/1755;0;3007;1;1755;318018;6828942;Pirkanmaan ELY;Pirkanmaa;Ylöjärvi;SOPPEENTIE X KOLMENKULMANTIE;2022;9;kääntyminen vasemmalle toisen eteen tai kylkeen;52;Loukkaantumiseen johtanut;2;mopedionnettomuus;;false;false;ajorata;kärkikolmio;ti;paljas, kuiva;tie valaistu;7;pilvipouta;50;Tieto puuttuu;kestopäällyste;Ib;Yhdystie;Ei tasoristeystä;true;;;;;;
617419;Kunta;;;;;;273401;6806301;Pirkanmaan ELY;Pirkanmaa;Sastamala;TÖRMÄTIE 1;2022;9;ajo risteäviä ajosuuntia suoraan;40;Loukkaantumiseen johtanut;2;mopedionnettomuus;;false;false;ajorata;linjaonnettomuus;ti;;päivänvalo;10;pilvipouta;40;;sora;;;Ei tasoristeystä;true;;;;;;
