Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
8291390;14773292;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8291390;14773293;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8292285;14773294;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1419
8292285;14773295;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8291906;14773296;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1164
8291943;14773297;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;19;1320
8411459;14990721;1;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;7;13400
8291944;14773298;1;43;muu moottorikäyttöinen ajoneuvo;-1;Ei arvoa;-1;Ei arvoa;3;16800
8291944;14773299;2;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;17;13950
8292305;14773300;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1455
8292305;14773301;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1601
8291945;14773302;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;2380
8291946;14773303;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1317
8291946;14773304;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8291389;14773305;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1355
8291576;14773306;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1410
8291576;14773307;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;19;1135
8411399;14989556;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1371
8411399;14991332;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8291670;14773308;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1503
8291670;14773309;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1434
8292306;14773310;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1529
8292306;14773311;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1925
8292307;14773312;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;6;1810
8292307;14773313;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1415
8292308;14773314;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1150
8292308;14773315;2;43;muu moottorikäyttöinen ajoneuvo;-1;Ei arvoa;-1;Ei arvoa;2;6780
8292309;14773316;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;;
8292309;14773317;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;;
8291481;14773318;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;19;1510
8291482;14773319;1;32;kuorma-auto;2;varsinainen perävaunu;-1;Ei arvoa;16;2380
8291483;14773320;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1105
8291483;14773321;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1708
8292310;14773322;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8292310;14773323;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1536
8291497;14773324;1;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;1;15600
8292312;14773325;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1624
8292313;14773326;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1102
8292313;14773327;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1582
8292314;14773328;1;40;traktori;-1;Ei arvoa;1;ammattimaisessa ajossa;8;6420
8565830;15273896;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;11;1980
8292315;14773329;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;17;11700
8292315;14773330;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1834
8292315;14773331;3;-1;Ei arvoa;2;varsinainen perävaunu;1;ammattimaisessa ajossa;17;11700
8292316;14773332;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8292317;14773333;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1178
8291533;14773334;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8291533;14773335;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;19;1120
8291534;14773336;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1200
8292318;14773337;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1585
8292318;14773338;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;9;102
8291742;14773339;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;17;1084
8291387;14773340;1;32;kuorma-auto;2;varsinainen perävaunu;-1;Ei arvoa;5;14700
8292319;14773341;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1632
8292319;14773342;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;10;1890
8292320;14773343;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1315
8292320;14773344;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;6;101
8292321;14773345;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1699
8296910;14780504;2;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;12;139
8296910;14782356;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1536
8297027;14781676;1;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;12;183
8296235;14781456;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;1350
8296235;14782005;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;24;1240
8297136;14782145;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8297136;14782255;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1311
8296199;14780267;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;12;2910
8296199;14780646;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1543
8296765;14781028;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;22;1350
8296837;14780172;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1953
8296837;14780453;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1355
8296834;14781402;1;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;11;254
8297238;14780374;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1940
8297238;14780683;2;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;8;96
8296218;14780161;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8296218;14781990;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1420
8296572;14781571;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1653
8297153;14781156;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;935
8297153;14782157;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1611
8296417;14781950;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1569
