OnnettomuusID;Tienpitäjä;Tieosoite;Ajorata;Tie;Osa;Etaisyys;x-koordinaatti;y-koordinaatti;Liikennevalot;ELY-keskus;Maakunta ;Kunta;Katuosoite;Vuosi;Kuukausi;Onnettomyystyyppi;Onnettomuustyyppi nro;Vakavuus;Osallisten lkm;Onnettomuusluokka;Raskaan liikenteen onnettomuus;Tietyö;Onnettomuuspaikka;Liittymäjärjestelyt;Viikonpäivä;Pinta;Valoisuus;Lämpötila;Sää;Nopeusrajoitus;Verkollinen asema;Päällyste;Talvihoitoluokitus;Toiminallinen luokka korjattu;Rautatie;Taajama;KVL;KVL raskas;Näkemä% yli 150;Näkemä% yli 300;Näkemä% yli 450;Näkemän pituus
625488;Kunta;-;-;-;-;-;252725;6707448;-;;;;HADVALANTIE X REKOLANTIE;2023;7;samat ajosuunnat muu törmäys käännyttäessä oikealle;11;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;ei;ei;suojatie;kärkikolmio;ma;paljas, kuiva;päivänvalo;20;kirkas;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625489;Väylävirasto;24/15/2002;0;24;15;2002;402009;6825602;-;Pirkanmaan ELY;Pirkanmaa;Kuhmoinen;NELOSTIE, KOUKANNIEMEN KOHDALLA;2023;7;kohtaaminen suoralla;20;Kuolemaan johtanut;2;kohtaamisonnettomuus;kyllä;kyllä;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;20;kirkas;80;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;2 757;295;94;62;37;
625490;Väylävirasto;4/105/2463;2;4;105;2463;396005;6689228;-;Uudenmaan ELY;Uusimaa;Vantaa;Lahdenväylä;2023;7;törmäys oik. reunassa olevaan pysäköityyn ajon.;91;Loukkaantumiseen johtanut;2;muu onnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;19;kirkas;120;-;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;ei;51 660;3 763;100;100;90;
625491;Kunta;-;-;-;-;-;383167;6675032;-;;;;PACIUKSENKAARI 13;2023;7;törmäys oik. reunassa olevaan pysäköityyn ajon.;91;Ei henkilövahinkoja;3;muu onnettomuus;ei;ei;muu;linjaonnettomuus;ma;paljas, kuiva;pimeä (valaisematon);13;kirkas;30;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625492;Väylävirasto;2470/1/650;0;2470;1;650;248682;6800144;-;Varsinais-Suomen ELY;Satakunta;Kokemäki;SATAKUNNANTIE;2023;7;suistuminen tieltä risteyksessä;86;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;kärkikolmio;ma;paljas, kuiva;päivänvalo;20;kirkas;50;Läpikulku-/sisääntulotie kaava-alueella;kestopäällyste;Ib;Yhdystie;Ei tasoristeystä;kyllä;4 329;279;50;42;31;
625494;Väylävirasto;13127/1/2639;0;13127;1;2639;296782;6840647;-;Pirkanmaan ELY;Pirkanmaa;Hämeenkyrö;Häijääntie x Palontie;2023;7;peräänajo jarruttavaan ajoneuvoon;6;Ei henkilövahinkoja;2;peräänajo-onnettomuus;ei;ei;ajorata;STOP-merkki;ma;paljas, kuiva;päivänvalo;20;pilvipouta;80;-;kestopäällyste;III;Yhdystie;Ei tasoristeystä;ei;103;2;;;;
625495;Kunta;-;-;-;-;-;396111;6704697;-;;;;SIPOONTIE 34-36;2023;7;muu onnettomuus;99;Ei henkilövahinkoja;1;muu onnettomuus;ei;ei;kävely- ja pyörätie;linjaonnettomuus;ma;paljas, kuiva;hämärä;17;pilvipouta;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625496;Väylävirasto;40/2/4035;1;40;2;4035;234549;6715094;toiminnassa;Varsinais-Suomen ELY;Varsinais-Suomi;Raisio;Nesteentie;2023;7;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;8;Ei henkilövahinkoja;3;peräänajo-onnettomuus;ei;ei;ajorata;liikennevalot;ma;paljas, kuiva;päivänvalo;21;kirkas;50;Keskustan ohikulku kaava-alueella;kestopäällyste;Ise;Kantatie;Ei tasoristeystä;ei;19 067;1 113;100;75;48;
625497;Väylävirasto;6/338/2746;0;6;338;2746;656152;6889993;-;Pohjois-Savon ELY;Pohjois-Karjala;Kitee;Joensuuntie x Hallakorventie;2023;7;suistuminen tieltä risteyksessä;86;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;kärkikolmio;ma;paljas, märkä;päivänvalo;14;vesisade;100;-;kestopäällyste;Ib;Valtatie;Ei tasoristeystä;ei;1 862;280;100;82;48;
625498;Väylävirasto;114/1/303;1;114;1;303;375543;6676546;toiminnassa;Uudenmaan ELY;Uusimaa;Espoo;Tie 1 X Nihtisilta;2023;7;kääntyminen samaan ajosuuntaan;31;Ei henkilövahinkoja;2;kääntymisonnettomuus;kyllä;ei;ajorata;liikennevalot;ma;paljas, kuiva;päivänvalo;20;kirkas;50;Tieto puuttuu;kestopäällyste;Is;Seututie;Ei tasoristeystä;ei;10 682;415;91;26;0;
625499;Kunta;-;-;-;-;-;370328;6670965;toiminnassa;;;;MARTINSILTA;2023;7;kaistanvaihto oikealle;2;Ei henkilövahinkoja;2;ohitusonnettomuus;ei;ei;ajorata;liikennevalot;ma;paljas, kuiva;päivänvalo;21;kirkas;50;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625500;Väylävirasto;74/11/3222;0;74;11;3222;688747;6943863;-;Pohjois-Savon ELY;Pohjois-Karjala;Joensuu;ILOMANTSINTIE;2023;7;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;13;pilvipouta;100;-;kestopäällyste;Ib;Kantatie;Ei tasoristeystä;ei;955;89;100;87;64;
625501;Väylävirasto;58/17/721;0;58;17;721;376741;6876765;-;Pirkanmaan ELY;Pirkanmaa;Mänttä-Vilppula;Orivedentie X Sairaalantie;2023;7;muu törmäys käännyttäessä vasemmalle;13;Loukkaantumiseen johtanut;2;kääntymisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;20;pilvipouta;80;-;kestopäällyste;Is;Kantatie;Ei tasoristeystä;ei;1 557;224;;;;
625502;Väylävirasto;5/131/6561;1;5;131;6561;528223;6846931;-;Pohjois-Savon ELY;Etelä-Savo;Mikkeli;VT5;2023;7;kohtaaminen suoralla;20;Ei henkilövahinkoja;2;kohtaamisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ti;-;päivänvalo;13;pilvipouta;100;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;6 744;829;;;;
625503;Väylävirasto;794/1/6227;0;794;1;6227;437399;7121834;-;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Siikalatva;HAAPAVEDENTIE;2023;7;kumoonajo ajoradalla;95;Loukkaantumiseen johtanut;2;jalankulkijaonnettomuus;ei;ei;ajorata;linjaonnettomuus;ti;paljas, kuiva;päivänvalo;17;kirkas;80;-;kestopäällyste;Ic;Seututie;Ei tasoristeystä;ei;584;61;100;85;57;
625504;Väylävirasto;7174/1/5982;0;7174;1;5982;241231;7008196;-;Etelä-Pohjanmaan ELY;Pohjanmaa;Korsholm;VEIKKAALANTIE 606;2023;7;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ti;paljas, kuiva;päivänvalo;18;kirkas;80;-;kestopäällyste;II;Yhdystie;Ei tasoristeystä;ei;706;49;;;;
625505;Väylävirasto;5/226/4777;0;5;226;4777;519335;7086219;-;Pohjois-Savon ELY;Pohjois-Savo;Sonkajärvi;KAJAANINTIE;2023;7;suistuminen oikealle suoralla;80;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ti;paljas, märkä;päivänvalo;13;pilvipouta;100;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;1 913;247;100;89;60;465
