OnnettomuusID;Tekninen osallinen ID;Osallisen numero;Osallisen lajikoodi;Perävaunukoodi;Ajolaji;Ajoneuvon ikä;Ajoneuvon massa
620745;;-;-; ;-;-;-
620746;;-;-; ;-;-;-
620747;1cde7abb885fefdc0c171206df7eac66;3;Henkilöauto;Ei tietoa/arvoa;-;11;1340
620747;6f4654da61552a0d27a538765457772f;2;Henkilöauto;Kevytperävaunu;-;2;1720
620747;9fdb2753c3699d400cd15361ffc732c2;4;Henkilöauto;Ei tietoa/arvoa;-;-;-
620747;14f1c85d8e6a090bffb21f4ffdd286e4;7;Henkilöauto;Ei tietoa/arvoa;-;19;1575
620747;392a012950a3a1c5e0a61bdfae63de9d;6;Henkilöauto;Ei tietoa/arvoa;-;3;-
620747;d9c15911ca08710f153e6467a163b53f;5;Henkilöauto;Ei tietoa/arvoa;-;16;1248
620748;7d35eb226e7ca59ba992b8bb1083c4b4;1;Henkilöauto;Ei tietoa/arvoa;-;20;1343
620749;65e1063ded6b611a356e62e5cf763c7d;1;Henkilöauto;Ei tietoa/arvoa;-;17;905
620750;748bf80ae22a2d6c6131fcd7ba1d116a;2;Henkilöauto;Ei tietoa/arvoa;-;9;1410
620750;aa4edd23c25e1b1c037fb02d6c1b5170;1;Henkilöauto;Ei tietoa/arvoa;-;12;1880
620751;9796b090d82a87e601c39e3d646808e3;1;Henkilöauto;Ei tietoa/arvoa;-;12;1630
620752;511adf7deaeb8b6362297ccdf9433fce;1;Henkilöauto;Ei tietoa/arvoa;-;19;1685
620753;f4abaceff669d7ab7f3233d3ca7eaac5;1;Henkilöauto;Ei tietoa/arvoa;-;18;1575
620754;22f25206afdaf1063fb062c95faeef5b;1;Pakettiauto;Ei tietoa/arvoa;-;15;2060
620754;40f78350d6232aff061f048c2781501a;2;Hirvi;Ei tietoa/arvoa;-;-;-
620755;2bcff8e188105202c54661e005dedd33;2;Henkilöauto;Ei tietoa/arvoa;-;7;1559
620755;82088035782952b6dece9cf7d53c9322;1;Henkilöauto;Ei tietoa/arvoa;-;18;1275
620756;d4406b0d24ee268aa6e31ad25003e479;2;Hirvi;Ei tietoa/arvoa;-;-;-
620756;fee158585e5df2e29fc5e457ce2931df;1;Henkilöauto;Ei tietoa/arvoa;-;16;2370
620757;5ca8845294ad06fb92d607bf1c99165d;1;Henkilöauto;Ei tietoa/arvoa;-;18;1229
