OnnettomuusID;Tekninen osallinen ID;Osallisen numero;Osallisen lajikoodi;Perävaunukoodi;Ajolaji;Ajoneuvon ikä;Ajoneuvon massa
610068;219516ba799a593213e5c22a8151d295;1;Traktori;;;17;5950
610069;53aa9ea65eeea3b01e3c0d416f9d4515;1;Henkilöauto;;;17;1329
610069;df3e9f1c7aa772a5506fd925e957b323;2;Kuorma-auto;;;14;9970
610070;c2787135ce23298e77933ad2bcbfa276;1;Henkilöauto;;;10;994
610071;86190c44c131ba148e007d8846a173e4;2;Kuorma-auto;;;8;14350
610071;d1ffad8e1764a54e4a5357ace2cc1fcf;1;Henkilöauto;;;0;1445
610072;47a147aa89d0c04e30b0635c397739eb;1;Henkilöauto;;;21;
610073;813d97339e9d8c7821f0b6200b1bbe5d;3;Henkilöauto;;;1;2005
610073;b182897d742af062aadad6ddcbd19828;2;Pakettiauto;;;19;
610073;e0d2ecfabdf5ea4545ea306a180a00f5;1;Henkilöauto;;;3;2235
610074;d2ec38e0281e583455974ef532accdc5;1;Henkilöauto;;;21;1152
610075;69c7ce7516d95560c4a890f1ab10b9a9;1;Henkilöauto;;;9;
610075;763e75485a5e9d9252891feeb883623e;2;Henkilöauto;;;18;1583
610076;1281193295f86d5e47e75896bf78f229;1;Pakettiauto;;;4;1140
610077;;;;;;;
610078;;;;;;;
610079;;;;;;;
610080;298a185f19aceff9e20dc1f23a4a8519;3;Henkilöauto;;;7;1102
610080;950d93612b97f255c9d85e71dd1b812b;2;Linja-auto;;;12;11535
610080;fdea6a75f78e54f5b4e5e4ddb9a29186;1;Henkilöauto;;;15;1359
610081;2ab3d69b4f11e5f14388a8295bc0ab20;2;Henkilöauto;;;12;1597
610081;ca4fd0123dddca61e25a1daaf50748cb;1;Henkilöauto;;;7;
610082;;;;;;;
610083;;;;;;;
610084;;;;;;;
610085;;;;;;;
610086;1f77a028de356818a697827230bebc5a;1;Pakettiauto;;;7;2073
610086;2d877c8d7a5f912c43df05efc9de2b00;2;Hirvi;;;;
610087;69fc49a80420b22cf4e9a2b6f975e3b6;1;Henkilöauto;;;2;1198
610087;779884aac56e45fc583c3e02d51f4bb3;2;Kuorma-auto;;1;1;14350
610087;a769d86b0427b088d9678fdc51b15114;3;;Varsinainen;;;
610088;7c30ef72389610cd9b9b5f334449b2fc;1;Kuorma-auto;;;;
610090;7ae4d381c8ef5b681b37af66e9fc6f37;1;Henkilöauto;;;17;
610090;f5a4e131df7822b5fc0b9554ab8b7168;2;Henkilöauto;;;14;1315
610091;647b344694f0f6087f0f0603c9f23ab8;1;Henkilöauto;;;18;
610092;841ed233376a81fbf36528732d44535c;2;Henkilöauto;;;13;1050
610092;4675780f0902b499de7ff25161cf06c8;1;Pakettiauto;;;1;2176
610093;2e5d04224f4a6c95ee4b49abdc68089a;1;Henkilöauto;;;16;
610093;6aa049028098accaf3c0dee2c904802a;2;Henkilöauto;;;17;
610094;38f1947d17c27d523f4a4fdd39142949;1;Pakettiauto;;;;
610095;6ee425110c5d135100e3a0c7e3853db8;1;Henkilöauto;;;17;2059
610095;ed0ab5a5fd7b904b1e69d1f622b3ee3e;2;Henkilöauto;;;;
610096;82cbf793c9cb0f86c43564e989981ec4;1;Henkilöauto;;;15;1775
610096;e257d0348e47319f32aea4a1cb77fc22;2;Henkilöauto;;;6;1545
610097;67b57045f3e6f399b3d95c94df3db77a;1;Henkilöauto;;;20;1530
610098;06e7cf5a498b08f5119c1e602f1e0ce9;1;Henkilöauto;;;13;1404
610099;834d56e4f0f79eb15207666ebe087c37;1;Pakettiauto;;;21;
610100;569450f238c649621783d9ae4eb661e1;1;Henkilöauto;;;17;1344
610101;81761295a9b03971e201da154360d216;1;Henkilöauto;;;18;1390
610102;6c8a8d70b6dcf1e2c65c8d88e8100d8f;3;Henkilöauto;;;0;1760
610102;32cd60b10b406fc70f37859fd40a770b;1;Linja-auto;;1;0;18450
610102;de2cd282cdf02bfacc10ed9f40d7e193;2;Henkilöauto;;;20;1055
610103;a5a8a81ba19609755834e806875a6dd7;1;Pakettiauto;;;3;1952
610103;af065d5d48039525fef452e1709b2c83;2;Henkilöauto;;;22;1055
